Calling Party,Called Party,Call Date Time,Duration(s),Call Type,IMEI,IMSI,First CGI,TAC
9812157052,9812235144,12/02/2026 00:00:12,33,MTC,863458632211406,404450719625768,HR-SNP-0147,1204
9416070946,9876167954,12/02/2026 00:02:48,234,MTC,863929034989247,404450544549689,HR-SNP-0147,1204
9896069598,9416019016,12/02/2026 00:04:29,14,MOC,869601545175688,404450918690821,HR-SNP-0147,1204
9416148752,9896047930,12/02/2026 00:05:25,193,MOC,864832819004695,404450561325766,HR-SNP-0147,1204
9812196374,9812233206,12/02/2026 00:05:37,260,MOC,867070869019666,404450456954682,HR-SNP-0147,1204
9416037869,9812233206,12/02/2026 00:07:36,247,MTC,867672368848158,404450984076542,HR-SNP-0147,1204
9812157052,9812127601,12/02/2026 00:09:01,186,MTC,862804440017919,404450511834185,HR-SNP-0147,1204
9812113278,9812096511,12/02/2026 00:09:44,152,MOC,862789186085521,404450958459117,HR-SNP-0147,1204
9416146265,9812010464,12/02/2026 00:11:34,251,MTC,862125659992939,404450382492880,HR-SNP-0147,1204
9896048890,9812286099,12/02/2026 00:12:53,162,MTC,861090654579358,404450475510815,HR-SNP-0147,1204
9812056898,9416199065,12/02/2026 00:13:21,299,MTC,863495674866098,404450895609471,HR-SNP-0147,1204
9812154313,9896163225,12/02/2026 00:14:22,152,MOC,864251500347732,404450259188853,HR-SNP-0147,1204
9812154313,9896062923,12/02/2026 00:14:24,184,MTC,864012941130618,404450191519166,HR-SNP-0147,1204
9896139444,9896166985,12/02/2026 00:14:27,220,MOC,865834940002134,404450675244407,HR-SNP-0147,1204
9896157795,9416067199,12/02/2026 00:14:29,256,MTC,866547468525661,404450628646448,HR-SNP-0147,1204
9876181200,9812292240,12/02/2026 00:14:48,204,MTC,866890290905860,404450562370643,HR-SNP-0147,1204
9896193886,9896127361,12/02/2026 00:15:33,70,MOC,866556847100762,404450538994061,HR-SNP-0147,1204
9812056105,9416138893,12/02/2026 00:15:47,155,MTC,864625497396628,404450253639423,HR-SNP-0147,1204
9896193886,9896095181,12/02/2026 00:16:14,131,MTC,861589986643823,404450140657269,HR-SNP-0147,1204
9416156438,9896029342,12/02/2026 00:17:13,222,MTC,861649788928816,404450623445398,HR-SNP-0147,1204
9896099733,9876187236,12/02/2026 00:17:45,75,MTC,867494258602854,404450689360922,HR-SNP-0147,1204
9416023396,9812097538,12/02/2026 00:18:24,204,MOC,867362244303213,404450757965465,HR-SNP-0147,1204
9812233206,9896186622,12/02/2026 00:20:15,64,MTC,868994156320838,404450788603957,HR-SNP-0147,1204
9896057739,9812199353,12/02/2026 00:20:32,289,MOC,868769913072912,404450471048258,HR-SNP-0147,1204
9812044099,9416134050,12/02/2026 00:20:39,265,MTC,862679219855307,404450667106600,HR-SNP-0147,1204
9416154473,9812160488,12/02/2026 00:23:03,123,MOC,867581804501791,404450519977113,HR-SNP-0147,1204
9812146585,9812024663,12/02/2026 00:23:09,273,MOC,863802235179220,404450292355674,HR-SNP-0147,1204
9896060328,9896045992,12/02/2026 00:23:34,272,MTC,868405947460045,404450478939097,HR-SNP-0147,1204
9812187992,9812022097,12/02/2026 00:24:30,235,MTC,864810400239032,404450867094342,HR-SNP-0147,1204
9416181810,9416173654,12/02/2026 00:25:21,52,MOC,864957854232754,404450124724799,HR-SNP-0147,1204
9812187397,9896017592,12/02/2026 00:32:48,123,MOC,864598142252417,404450171013341,HR-SNP-0147,1204
9416114165,9416146265,12/02/2026 00:33:35,291,MTC,867122832072479,404450473098534,HR-SNP-0147,1204
9896118675,9416197153,12/02/2026 00:35:37,164,MOC,864776229249314,404450438126323,HR-SNP-0147,1204
9876138080,9812290676,12/02/2026 00:36:21,66,MTC,866414165774564,404450955508961,HR-SNP-0147,1204
9896199593,9896043386,12/02/2026 00:38:34,205,MOC,865088865953120,404450122777694,HR-SNP-0147,1204
9896034931,9812259672,12/02/2026 00:41:23,224,MOC,868216420765382,404450638824588,HR-SNP-0147,1204
9896022363,9896193886,12/02/2026 00:41:33,171,MOC,868338588570110,404450608242781,HR-SNP-0147,1204
9812021003,9416074042,12/02/2026 00:42:23,283,MOC,865961126488164,404450389046078,HR-SNP-0147,1204
9896044970,9896199593,12/02/2026 00:42:53,134,MOC,861895035679701,404450458468773,HR-SNP-0147,1204
9416019508,9896062923,12/02/2026 00:43:49,77,MOC,864934226394586,404450371002172,HR-SNP-0147,1204
9896060328,9416037869,12/02/2026 00:44:35,172,MTC,867865807388828,404450446197308,HR-SNP-0147,1204
9416186484,9812022224,12/02/2026 00:46:13,186,MOC,861915843815020,404450828330158,HR-SNP-0147,1204
9812189840,9896169429,12/02/2026 00:47:25,271,MOC,861661829923715,404450594318319,HR-SNP-0147,1204
9416173654,9812037110,12/02/2026 00:47:40,88,MTC,869533944826537,404450606257674,HR-SNP-0147,1204
9896097841,9812040007,12/02/2026 00:47:53,73,MTC,861660532156542,404450502859804,HR-SNP-0147,1204
9416186484,9812142591,12/02/2026 00:50:28,138,MOC,863934367060836,404450526324454,HR-SNP-0147,1204
9812298039,9812159615,12/02/2026 00:52:29,136,MOC,865193922076607,404450465933326,HR-SNP-0147,1204
9812056105,9896039219,12/02/2026 00:54:00,129,MTC,862334211639767,404450485573103,HR-SNP-0147,1204
9812146585,9896084341,12/02/2026 00:55:25,209,MOC,866414422207738,404450636531772,HR-SNP-0147,1204
9812096511,9812044099,12/02/2026 00:56:14,159,MOC,866425039801913,404450942754807,HR-SNP-0147,1204
9896045992,9896115695,12/02/2026 00:56:45,178,MOC,862804350149101,404450113194760,HR-SNP-0147,1204
9896062923,9812182357,12/02/2026 00:58:13,126,MOC,869450706884627,404450283085932,HR-SNP-0147,1204
9416017331,9812022097,12/02/2026 00:58:38,144,MTC,863183872935263,404450802026333,HR-SNP-0147,1204
9896073993,9416173654,12/02/2026 00:59:45,142,MOC,865044575753967,404450959166755,HR-SNP-0147,1204
9416024621,9812299192,12/02/2026 01:01:03,108,MOC,862700301471711,404450955690804,HR-SNP-0147,1204
9416188172,9896076307,12/02/2026 01:02:58,259,MOC,868236537113370,404450573185010,HR-SNP-0147,1204
9416146265,9896137549,12/02/2026 01:06:59,120,MTC,868981852402784,404450466034277,HR-SNP-0147,1204
9896062923,9812022280,12/02/2026 01:07:20,283,MOC,866190664362330,404450780801356,HR-SNP-0147,1204
9812156357,9812087110,12/02/2026 01:07:48,20,MOC,863221522634754,404450608482316,HR-SNP-0147,1204
9416094080,9896072277,12/02/2026 01:08:03,215,MTC,862901322311141,404450626422169,HR-SNP-0147,1204
9812088504,9416161049,12/02/2026 01:08:20,258,MOC,861558769891906,404450713119661,HR-SNP-0147,1204
9416148752,9876192149,12/02/2026 01:09:13,204,MTC,869373265094514,404450160252954,HR-SNP-0147,1204
9812290676,9416131632,12/02/2026 01:09:20,84,MOC,862255815889134,404450683247918,HR-SNP-0147,1204
9896044970,9812169692,12/02/2026 01:10:25,188,MOC,863065853317837,404450932828137,HR-SNP-0147,1204
9896040495,9416070946,12/02/2026 01:13:21,135,MOC,868719783947424,404450351619881,HR-SNP-0147,1204
