Calling Party,Called Party,Call Date Time,Duration(s),Call Type,IMEI,IMSI,First CGI,TAC
9812345678,9896011223,10/02/2026 14:22:15,120,MOC,869123456789012,404450112233441,HR-SNP-0089,1204
9896011223,9812345678,11/02/2026 18:05:40,45,MOC,861234059123456,404450123456789,HR-SNP-0147,1204
9812345678,9896011223,12/02/2026 21:14:02,184,MOC,869123456789012,404450112233441,HR-SNP-0147,1204
9896011223,9812099881,12/02/2026 21:16:45,95,MOC,861234059123456,404450123456789,HR-SNP-0147,1204
9812099881,9812011234,12/02/2026 21:18:30,74,MOC,865432098765432,404450334455667,HR-SNP-0147,1204
9896011223,9812155443,12/02/2026 22:45:10,210,MOC,861234059123456,404450123456789,HR-SNP-0147,1204
9812987654,9812088776,13/02/2026 11:30:15,65,MOC,869123456789012,404450998877662,HR-SNP-0211,1204
9896011223,9812233445,13/02/2026 16:12:00,150,MOC,861234059123456,404450123456789,HR-ROH-0052,1201
9812345678,9896011223,13/02/2026 23:15:22,90,MOC,869123456789012,404450112233441,HR-SNP-0089,1204
9812099881,9812900011,14/02/2026 09:10:00,32,MOC,865432098765432,404450334455667,HR-SNP-0089,1204
9896011223,9812700022,14/02/2026 12:40:18,88,MTC,861234059123456,404450123456789,HR-SNP-0147,1204
