Calling Party,Called Party,Call Date Time,Duration(s),Call Type,IMEI,IMSI,First CGI,TAC
9812187397,9896054942,20/11/2025 08:09:07,495,MTC,864151605976883,404450973024876,HR-KND-0091,1208
9812134356,9812097538,20/11/2025 08:12:28,471,MOC,862681647385709,404450630135702,HR-RAI-0064,1208
9812040007,9812184668,20/11/2025 08:14:02,537,MOC,869183865149508,404450838493461,HR-SNP-0089,1201
9416186484,9812088504,20/11/2025 08:20:37,309,MTC,863137871110546,404450403997801,HR-ROH-0052,1201
9876119071,9812070068,20/11/2025 08:28:34,195,MTC,861586883745805,404450138100363,HR-SNP-0211,1201
9896050857,9416062581,20/11/2025 08:36:10,488,MOC,861481778599951,404450702127621,HR-RAI-0064,1208
9812088504,9812113278,20/11/2025 08:36:36,332,MOC,866519011740922,404450169023447,HR-SNP-0089,1208
9896161876,9896099399,20/11/2025 08:37:03,246,MOC,865907159705049,404450358176014,HR-KND-0091,1208
9876175909,9896031417,20/11/2025 08:47:59,232,MTC,868037452615177,404450671985962,HR-GOH-0045,1208
9812159823,9812116630,20/11/2025 08:53:55,114,MOC,866407996297635,404450241808790,HR-RAI-0064,1201
9896128301,9896161876,20/11/2025 08:57:46,137,MTC,867124416795260,404450862988984,HR-KND-0091,1201
9876138080,9812215482,20/11/2025 09:05:41,463,MTC,864263044441298,404450617052924,HR-GNR-0023,1208
9812198696,9812266333,20/11/2025 09:05:47,281,MOC,864550320461419,404450173548184,HR-SNP-0147,1208
9896189276,9896176244,20/11/2025 09:05:48,124,MOC,862799257380650,404450774843053,HR-SNP-0089,1208
9812113278,9876182063,20/11/2025 09:06:47,453,MOC,863658202240203,404450210649342,HR-SNP-0147,1201
9812299192,9812142591,20/11/2025 09:13:50,417,MOC,862911204272244,404450705246923,HR-SNP-0089,1204
9812024371,9812298039,20/11/2025 09:16:41,358,MTC,864784902376198,404450293654386,HR-SNP-0318,1208
9896176244,9416173653,20/11/2025 09:20:16,364,MOC,865742662679668,404450469838648,HR-ROH-0077,1208
9876179352,9896014207,20/11/2025 09:27:53,191,MOC,869307426921252,404450666218011,HR-SNP-0211,1201
9896093130,9896087128,20/11/2025 09:30:55,521,MOC,869148432757330,404450264629462,HR-SNP-0042,1204
9812276542,9896048890,20/11/2025 09:32:39,445,MOC,866242821354160,404450485780517,HR-GNR-0023,1201
9812198501,9896161876,20/11/2025 09:39:34,22,MOC,867277774306703,404450105398341,HR-SNP-0147,1208
9416154473,9812056898,20/11/2025 09:41:14,243,MTC,867977770640553,404450178624810,HR-GOH-0012,1208
9812097538,9416191351,20/11/2025 09:54:17,276,MTC,865174012052005,404450346628568,HR-SNP-0211,1208
9812164948,9416156438,20/11/2025 09:54:44,583,MOC,862757389004560,404450569425890,HR-GNR-0023,1204
9896115695,9416023396,20/11/2025 09:59:26,116,MOC,864213117194468,404450531197041,HR-SNP-0147,1204
9416041285,9812241029,20/11/2025 10:14:13,186,MTC,869450453026822,404450362585662,HR-KND-0091,1204
9896099399,9896189276,20/11/2025 10:25:33,506,MOC,863233389196855,404450283892057,HR-RAI-0064,1204
9876117100,9416156438,20/11/2025 10:33:25,98,MTC,863851179051472,404450342289595,HR-GOH-0045,1208
9416050306,9812113278,20/11/2025 10:41:00,354,MOC,866710050871700,404450205186242,HR-ROH-0077,1208
9812022224,9896087128,20/11/2025 10:43:08,432,MTC,867771302298264,404450175710656,HR-SNP-0318,1208
9896128301,9876181200,20/11/2025 10:44:13,414,MTC,867455777247093,404450283126711,HR-SNP-0147,1204
9416186484,9416019016,20/11/2025 10:44:13,347,MOC,864247837166487,404450887971402,HR-PAN-0033,1201
9416188104,9812276542,20/11/2025 10:46:27,579,MTC,866387588263880,404450431986824,HR-PAN-0033,1208
9416156438,9812253540,20/11/2025 10:49:51,198,MOC,868404192658211,404450299371778,HR-SNP-0089,1208
9876180284,9812129536,20/11/2025 10:51:22,206,MOC,865286766709047,404450501578735,HR-GNR-0023,1201
9896199593,9812044522,20/11/2025 10:55:57,485,MOC,868274807406567,404450113065071,HR-SNP-0147,1201
9812024663,9812061173,20/11/2025 10:56:32,535,MTC,865114939320947,404450398045823,HR-KND-0091,1201
9812099166,9812182357,20/11/2025 11:07:27,284,MTC,863491457717296,404450652794509,HR-SNP-0147,1204
9416138893,9896034931,20/11/2025 11:24:52,125,MOC,864745521764654,404450384276783,HR-SNP-0147,1201
9812253540,9416041285,20/11/2025 11:38:38,522,MOC,861762318321881,404450140974330,HR-ROH-0052,1201
9416041285,9896044970,20/11/2025 11:41:07,471,MTC,862850480018200,404450976565978,HR-PAN-0033,1208
9896084341,9876121915,20/11/2025 11:49:55,79,MOC,868557575484295,404450123807808,HR-KND-0091,1204
9896095181,9812198501,20/11/2025 11:52:37,266,MOC,864869170882732,404450427739213,HR-ROH-0052,1201
9812184668,9812140512,20/11/2025 11:58:22,253,MTC,862516065546378,404450453914738,HR-SNP-0147,1201
9896169429,9416134050,20/11/2025 12:03:06,502,MOC,861830402863168,404450996195003,HR-SNP-0042,1204
9876179352,9416074042,20/11/2025 12:04:09,510,MTC,862242357103776,404450913490325,HR-PAN-0081,1201
9812097538,9812298039,20/11/2025 12:07:18,186,MOC,866491186232250,404450619098642,HR-PAN-0081,1208
9416037869,9896115695,20/11/2025 12:09:54,166,MOC,866146049114883,404450124919252,HR-ROH-0052,1201
9896170637,9812280010,20/11/2025 12:17:53,209,MOC,867357301867333,404450692850574,HR-KND-0091,1201
9876121915,9416027146,20/11/2025 12:29:15,450,MTC,863061028100042,404450324983762,HR-SNP-0089,1204
9416198039,9876121915,20/11/2025 12:29:19,534,MOC,866209352119350,404450216814933,HR-RAI-0064,1208
9896058434,9896169929,20/11/2025 12:31:01,292,MTC,862457522093503,404450990125664,HR-ROH-0077,1201
9812091183,9876130289,20/11/2025 12:34:32,521,MOC,866196084908835,404450663169822,HR-KND-0091,1204
9812022224,9812157052,20/11/2025 12:35:56,150,MTC,868366462985594,404450331143904,HR-SNP-0042,1204
